Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-07-18 03:45:00+00:00,25086.19921875,25144.19921875,25083.400390625,25108.55078125,0
2025-07-18 03:50:00+00:00,25080.80078125,25097.0,25077.80078125,25086.69921875,0
2025-07-18 03:55:00+00:00,25070.5,25084.400390625,25061.599609375,25081.099609375,0
2025-07-18 04:00:00+00:00,25077.55078125,25080.849609375,25070.19921875,25070.19921875,0
2025-07-18 04:05:00+00:00,25076.19921875,25086.150390625,25070.0,25077.75,0
2025-07-18 04:10:00+00:00,25044.30078125,25077.75,25044.0,25075.94921875,0
2025-07-18 04:15:00+00:00,25032.55078125,25044.94921875,25026.44921875,25044.30078125,0
2025-07-18 04:20:00+00:00,25045.05078125,25050.19921875,25031.849609375,25033.25,0
2025-07-18 04:25:00+00:00,25039.0,25047.25,25039.0,25045.19921875,0
2025-07-18 04:30:00+00:00,25027.19921875,25042.25,25018.150390625,25039.80078125,0
2025-07-18 04:35:00+00:00,25017.0,25027.19921875,25011.900390625,25024.94921875,0
2025-07-18 04:40:00+00:00,25013.19921875,25018.30078125,25004.80078125,25017.94921875,0
2025-07-18 04:45:00+00:00,24957.849609375,25013.30078125,24953.650390625,25013.30078125,0
2025-07-18 04:50:00+00:00,24964.44921875,24965.80078125,24938.599609375,24956.650390625,0
2025-07-18 04:55:00+00:00,24952.650390625,24967.80078125,24949.25,24965.25,0
2025-07-18 05:00:00+00:00,24943.900390625,24952.55078125,24931.400390625,24952.55078125,0
2025-07-18 05:05:00+00:00,24953.5,24962.599609375,24943.0,24943.849609375,0
2025-07-18 05:10:00+00:00,24942.099609375,24954.44921875,24938.349609375,24952.94921875,0
2025-07-18 05:15:00+00:00,24943.75,24952.94921875,24936.5,24942.349609375,0
2025-07-18 05:20:00+00:00,24947.150390625,24952.400390625,24942.19921875,24943.900390625,0
2025-07-18 05:25:00+00:00,24931.05078125,24953.05078125,24931.05078125,24947.44921875,0
2025-07-18 05:30:00+00:00,24953.44921875,24955.94921875,24925.599609375,24931.0,0
2025-07-18 05:35:00+00:00,24955.0,24958.099609375,24948.400390625,24953.44921875,0
2025-07-18 05:40:00+00:00,24957.400390625,24961.44921875,24949.349609375,24954.75,0
2025-07-18 05:45:00+00:00,24959.349609375,24962.0,24955.099609375,24958.400390625,0
2025-07-18 05:50:00+00:00,24966.900390625,24967.55078125,24954.150390625,24958.900390625,0
2025-07-18 05:55:00+00:00,24971.55078125,24976.55078125,24963.94921875,24967.30078125,0
2025-07-18 06:00:00+00:00,24971.650390625,24971.650390625,24971.650390625,24971.650390625,0
